,Id,Gender,Age,Topic,Sentence
8165,914,F,20-29,ANIME,"Approvo a mille queste tattiche di recupero ...   Sato però al Lago di Garda ci devi venire ... ma perchè non fanno uno special loro due su ""Italia"" e non New York"
8166,741,M,40-49,AUTO-MOTO,non capisco niente da questa foto e non so come aiutarti
8167,1042,M,20-29,SPORTS,"Era il minimo, in Europa è giusto farlo, non come chi si presenta con le riserve e ne prende 4 (ops quelli erano i titolari  )"
8168,294,F,0-19,ANIME,Vai squirtle! Squirtle  lv5 pv20 Abilità: Acquaiuto Azione (-11) Colpocoda (abbassa difesa) Exp: 30/50 Azione! psr 3
8169,963,M,40-49,AUTO-MOTO,"Credo che a volte non facciamo cose come aprire un filtro dell'aria più per paura di fare casini che per reale difficoltà tecnica....io sono uno di quelli (che poi in realtà quando avevo lo scooter da pischello, lo smontavo sempre da solo, al limite chiedevo qualche consiglio ma poi tutto da me perfino la sostituzione del cilindro e pistone). Non che i miei consigli valgano molto e non so se i due filtri siamo uguali, ma se le due moto sono dello stesso anno è molto probabile che abbiano gli stessi attacchi, quindi, con molta calma inizia a svitare le viti del coperchio e procedi fino ad arrivare alle viti che tengono la scatola sul carburatore/igniezione... Al limite ti fermi e torni indietro"
8170,740,M,0-19,SPORTS,"Zalayeta, entra, buone sponde e una palla che il Pocho ha mandato a far compagnia alla cometa di Halley.. comunque insufficiente ed estremamente lento"
8171,592,M,30-39,SMOKE,"Direi che quello dei tabacchi naturali, stringi stringi, è il mondo di quello che io definirei ""gusto naturale"": tabacchi scuri, tendenzialmente, senza note aromatiche naturali (o artificiali) predominanti. Un qualcosa di forte e di semplice. Della ""tripletta"" entrano in questo gruppo, senza se e senza ma, il Comune e il Forte. L'Italia a parer mio ha un carattere diverso, qualche concessione all'aromatizzazione, seppur blanda, ce l'ha. Semois, più che un solo tabacco, è una tipologia. I naturali, tabacchi spesso considerati da fumatori esperti, da vecchi lupi della pipa, tendono ad avere una diffusione regionale: i naturali francesi stanno in Francia, gli svizzeri in Svizzera e così via. In Svizzera ci sono i Burrus, c'è il Garibaldi, c'erano (ora non lo so più) quelli de La Nazionale di Chiasso (come ho scritto altrove, ho ancora un bustone di La Nazionale F25, scatola color grigio e rosa, prevalenza di tabacchi chiari). Per non parlare delle cimette di Toscani Brissago, di cui detengo ancora una scatola, e che van bene per fumate serali ""di peso"". Io poi le trovo ideali per ""purificare"" e asciugare una pipa troppo appesantita e resa sdolcinata da trinciati aromatizzati. In Francia ci sono i vari Caporal e Saint Claude... Insomma, per del ""vero naturale"" occorre viaggiare o avere agganci. Io comunque credo che un moderatore sposterà questo tuo intervento della discussione ""grande"", se ho capito qualcosa di questo forum..."
8172,966,M,20-29,CELEBRITIES,Ma che c'entra Lollobrigida.. Boh non riesco a capire
8173,1098,M,40-49,SPORTS,"Per tirare la cordella metrica basta assicurare/fissare lo 0 ad un legnetto conficcato nel terreno, mentre per l'erba (che non deve essere necessariamente rasata) se è troppo alta o troppo fitta mi vado a cercare un altro posto. Per misurare con la cordella metrica (come si dice da queste parti) basta avere un po' di husta e se poi dovessi pure sbagliare di 1/2m ,non trattandosi dei campionati mondiali di long casting ...e se c'è vento?"
8174,687,M,20-29,AUTO-MOTO,"Lode alla Fiat... Grazie a tutti per la precisione, come sempre."
8175,282,M,30-39,SPORTS,Seguo da ora la carriera beh sicuramente stiamo facendo una grande stagione e stiamo portando la squadra verso una promozione che potrebbe essere davvero storia
8176,115,M,20-29,AUTO-MOTO,"E' quello che ho provato, ma nulla di soddisfacente, infatti ho addirittura pensato che ci fosse qualche problema sull'idraulica. Io giro 55 avanti 65 dietro. Ma l'anteriore non assorbe una sega"
8177,1079,M,40-49,AUTO-MOTO,"Prova qui, di solito hanno parti di ricambio di ottima qualità (testato da conoscenti): A presto!!!, Eos"
8178,707,M,50-100,AUTO-MOTO,"Dalla foto non puoi capire di quanto sia la differenza data dalla prospettiva (errore di parallasse). Dovresti stare ad una distanza ""infinita"" per eliminarlo. Miche65 sarà mica stupido a insistere ... M."
8179,17,M,50-100,AUTO-MOTO,"LOCALITÀ Cortenuova di Monticello Brianza Ex Area Garelli, via Moneta Dall’11 al 18 maggio ORARI Domenica 11 maggio: ore 15.00 Da lunedì 12 a sabato 17: dalle ore 15.00 alle ore 19.00 Domenica 18 maggio: dalle ore 10.00 alle ore 12.30; dalle ore 15.00 alle ore 19.00 Purtroppo le moto molto interessanti non so esattamente quanto rimarranno, per problemi di sicurezza."
8180,552,M,30-39,NATURE,So che ne aveva qualcuno koi Haus e che forse avrebbe fatto un'integrazione alla fornitura disponibile...poi non mi sono tenuto aggiornato...prova a contattarlo x sentire se ne ha ancora...taglia 10/12cm circa...
8181,479,M,0-19,AUTO-MOTO,"Si, penso tu abbia ragione, il mini bike con motore minarelli sembra la naturale evoluzione del lambrettino rosella, magari prodotta qualche anno dopo. Inoltre si si ingrandisce la foto della mini bike rossa, proprio dietro al faro, si legge una parte del nome  Io leggo le lettere RO, vuoi che pure questa l'abbiano chiamata  ?!? Lorenzo"
8182,368,M,20-29,AUTO-MOTO,"il proprietario diciamo che ha preso una bella botta.. ora sta ""malandato"" con qualche costola rotta.. e varie parti del corpo ""bruciate"".. ho fatto un giro di chiamate, la cosa secondo me va per le lunghe.."
8183,402,F,20-29,ANIME,in parte... No ho voglia di andare a ritirare perché fondamentalmente no ho voglia di far niente O.O
8184,28,M,30-39,SPORTS,"Davvero grande tristezza nell'apprendere la notizia stamattina, grazie Massimo per la tua testimonianza. Per quel pochissimo che conoscevo Paolo, è stato e rimane un esempio di forza e grande dignità. Riposa in Pace."
8185,954,M,20-29,SPORTS,"AD FAT BUS DE CUL IVAN!!!!    Comunque la compagnia...un po' la invidio! Difficile trovare 2 ceffi più ""sportivi""!!!"
8186,18,M,50-100,SPORTS,"Allegri bastardo come.ride a sky e si atteggia sta lota , ma.che culo che hai avuto merda oltre che.al mancato rigore"
8187,770,M,0-19,SPORTS,e non ci sarà nemmeno il ripescaggio... sarà un campionato a 16 squadre ..  ... speravo in un ripescaggio della legea scafati anzi ora Harem Scafati.. la squadra della mia città... cmq ora capo d'orlando e napoli giocheranno in B1.. Che Vergogna !!
8188,735,M,50-100,METAL-DETECTING,"Veramente gli anni li faccio fra 7 mesi e pensavo per farmi un regalo proprio a un AT PRO. non vorrei fare una cappellata, se Dino Conta ci spiegasse perchè sarebbe un acquisto sbagliato, gliene sarei grato"
8189,406,M,50-100,SPORTS,"Quoto Luca, molti (io per primo) non sanno come impostare un'email, se qualcuno prepara una bozza a cui tutti possiamo attenerci sarà molto più semplice inviarla e farci sentire, mi impegno personalmente a farla girare anche in altri forum, questa è una cosa che non riguarda solo noi abitanti del Lazio, ma tutta l'italia, iniziative così se iniziano a prendere piede per noi sarà l'ennesima ingiustizia decretata da un'imbecille che decreta per colpa di qualche altro imbecille."
8190,584,M,30-39,SPORTS,Non ce ne sono perché siete caduti in coma dopo il gol di Koulibaly
8191,559,M,50-100,AUTO-MOTO,"Dipende sempre da quello che vuol farci uno della propria Renegade. Ci sono bei percorsi che, con qualche cm in più da terra, li si affronta con più tranquillità, godendosi i paesaggi e divertendosi. Poi, sicuramente è più bella."
8192,579,F,20-29,METAL-DETECTING,"Ok, eviterò di andare al parco del Roccolo. Grazie per l'info!! Io sono proprio di Legnano"
8193,572,M,40-49,ANIME,Uno dei 10 registi italiani più amati di tutti i tempi ci ha lasciato oggi dopo una lunga malattia all'età di 77 anni R.I.P.
8194,229,F,40-49,SPORTS,sono pienamente d'accordo con te ...  bisogna dirla tutta anche se si è pareggiato
8195,342,M,40-49,AUTO-MOTO,"Ciao Gianni, sei il benvenuto in O.M.C.I. Ti chiedo un ultimo sforzo quello di compilare i dati della Mokka in firma. Grazie e a presto."
8196,992,M,20-29,SPORTS,"- Benzina per arrivare fino a Belluno: 20 euro - 3 caffè e 3 brioches per colazione: 5 euro - Andare avanti e indietro con Carlo e Armando per controllare i tempi delle N3 a ogni fine P.S. per vedere se il ""nostro"" pilota stava recuperando... NON HA PREZZO!!!!!!!!!!!!!! Grazie Carlo e grazie Armando per la fantastica giornata  Parlando della gara comunque devo dire che anche io sono rimasto un pò deluso dal livello medio dei concorrenti...ce n'erano certi che sembrava fossero in gita di piacere!!!!!! Uno che mi ha sorpreso, anche se più o meno lo conoscevo già un pò, è stato Cenedese che ha fatto dei gran bei tempi con la Clio N3. Per il resto niente da segnalare..."
8197,113,M,40-49,AUTO-MOTO,"Un amico che vende questo scarico, se iteressa vi do il suo contatto per parlare con lui direttamente, nn chiedetemi il prezzo, l' ho solo visto ed e' messo bene."
8198,747,M,40-49,SPORTS,"Perché sa che in quello nessuno lo ostacolerà... Anzi. Ferrero si frega le mani non appena arriva una proposta per un suo giocatore. È normale che qui nessun giocatore in carriera voglia rimanere più di tanto : una società senza ambizioni sportive, che funge solo da vetrina. Sì, abbiamo rifatto Bogliasco, l'Accademy, preso in concessione lo stadio, bilanci in ordine, ma alla fine della fiera rimaniamo solamente una tappa piuttosto breve per ogni elemento di belle speranze che abbiamo. Io baratterei quello che abbiamo fatto con Bogliasco, l'Accademy, lo stadio, con qualche vittoria in più ed il conseguimento di qualche risultato sportivo."
8199,1086,M,30-39,AUTO-MOTO,"grazie a tutti!spero di riuscire a incontrare qualcuno di voi in qualche giro, ho un sacco di strada da recuperare!!"
8200,1083,M,0-19,SPORTS,Super squadra che riprendiamo per due volte il bayer ora puoi andare e conquistare l'Inghilterra
8201,871,M,50-100,AUTO-MOTO,".. anch ' io quando ho visto il gommista all' opera ero abbastanza scettico , la dimensione del foro , la sua posizione e lo stato della gomma forse erano molto favorevoli. Sicuramente a cambiar la gomma non si sbaglia .. ma posso anche dire che nel mio caso non ho avuto problemi !  In queste cose ovviamente è meglio un eccesso di zelo che un difetto .. stiamo pur parlando della ns. sicurezza !!"
8202,221,M,50-100,SPORTS,"Sessanta o nn sessanta tu buchi sempre ,o quasi , come si dice in questa landa : finocchiacci tutti e due !! Bravi , bravissimi , vi invidio la costanza , io sono in fase calante , speriamo che con le prime uscite di ritrovare un po' di gas ......."
8203,543,M,30-39,SPORTS,un nazionale 30enne in comproprietà? Se il palermo lo vende lo fa per soldi o contropartite tecniche..mica lo vende a metà quando sa bene che tra 2 anni Balzaretti ha finito col calcio che conta..
8204,568,F,50-100,CELEBRITIES,ma voi ancora credete nel televoto????? ahhahahahahaha io non ci credo più da un bel pò......non buttate soldi per televotare.....è tutto un blufffffff
8205,848,M,40-49,SMOKE,"Fumata solo una busta comprata in Spagna qualche annetto fa' quindi giudizio molto approssimativo. Mi piacque, ma se non dovesse arrivare in Italia, non mi strapperei i capelli eh!!"
8206,169,M,50-100,AUTO-MOTO,"Forse se mi facessero visionare la moto, potrei capire qualcosa. Cambio bloccato, acquisizione della marcia in cui è rimasta la moto per ipotizzare la velocità, catena strappata e attorcigliata intorno all'asse posteriore, pneumatico scoppiato (non credo forato perchè la Multistrada monta tubeless), malore improvviso, distrazione mentre cambiava mappatura alla moto, animale che attraversa la strada, automobile che sorpassandolo l'ha fatto cadere, forse era girato per dire qualcosa alla passeggera.......mi vengono in mente tante ipotesi. Oggi la mia passeggiata in moto è stata maledettamente pesante. Ho dovuto farmi forza per uscire dallo shock della notizia di Claudio. Certo le cause dell'incidente mi lasciano davvero sgomento. Claudio era uno esperto e chi ha esperienza per strada va molto cauto e per fare gli stronzi usiamo le piste."
8207,1088,M,30-39,CELEBRITIES,"Raga ma mi sono perso un pezzo di puntata? Hanno chiuso un'ora prima del solito.. Lo sanno che siamo passati all'ora solare, vero? 😳"
8208,542,M,50-100,AUTO-MOTO,"quest'anno non ci sono andato per altri impegni, il mio pensiero su imola è se cerchi un adesivo, un parafango o qualche altro pezzetto introvabile magari lo trovi, costa un pò caro, ma ti serve e lo pigli, fare affari su moto o auto complete scordiamocelo i venditori son tutti competenti, aggiornati e spesso folli pensando di avere un monte di ruggine, a cui la gente presta attenzione e chiedono uno sproposito. forse per fare qualche affare meglio mostre-scambio minori con meno blasone."
8209,886,M,40-49,ANIME,"Non mi sembra nelle mie corde lo lascio ad altri. Dopo questa ti voglio un po' meno bene, solo un pochino"
8210,748,M,50-100,AUTO-MOTO,"Andiamo ad analizzare la nuova nata e le caratteristiche proposte con la Opening Edition (in rosso le variazioni rispetto alla Renegade): 439 cm  rispetto alla Renegade 182 cm  rispetto alla Renegade 165 cm  rispetto alla Renegade 60 Litri  rispetto alla Renegade 410 litri  1.956 cc diesel MultiJet da 103 kw/140 cv, Euro6 trazione integrale con cambio automatico 9 marce e selettore all terrain 37.750 € ESTERNI: Barre portatutto cromate Cerchi in lega da 18"" Correttore assetto fari Fari anteriori a LED Fendinebbia Kit gonfiaggio pneumatici Modanatura cromata laterale e posteriore (DLO) Retrovisori esterni in tinta carrozzeria Retrovisori esterni riscaldabili elettricamente Retrovisori ripiegabili elettricamente Sensore luci Sensore pioggia Sistema di monitoraggio pressione gomme Tergilunotto Terminale di scarico cromato Tetto nero (opzione su *) Vernice metallizzata (Diamond Black, Granite Crystal * o Pearl White tristato *) Vetri elettrici anteriori Vetri oscurati CONFORT: Autoradio Uconnect con schermo da 8.4 pollici, interfaccia Apple Car Play ed Android Mirror Link Bluetooth Climatizzatore automatico Controllo automatico velocità Hill Start Assist (Sistema di ausilio partenza in salita) Impianto Audio Beats da 506 Watt con 9 speakers Navigatore satellitare Portellone automatico (opzione da verificare se disponibile su Opening Edition) Sensori di parcheggio posteriori Servosterzo INTERNI: Bracciolo sedili anteriori Comando al volante Indicatore temperatura esterna Interni in materiale pregiato (fianchetti in pelle/ sedute e schienali in tessuto) Leva del cambio automatico in pelle Presa ausiliare da 12V nel bagagliaio Presa ausiliare da 230V Quadro strumenti con display multifunzionale a colori da 7"" Sedile guida regolabile in altezza Sedile posteriore sdoppiato 40/20/40 Specchietto retrovisore interno elettrocromatico Supporto lombare elettrico Vano portabottiglie frontale illuminato Volante regolabile in altezza e profondità SICUREZZA: ABS Airbag guida Airbag laterali Airbag passeggero Airbag per la testa Airbag per le ginocchia Antifurto Appoggiatesta posteriori Avviso del cambio di corsia Lane Keep Assist Chiave con transponder Chiusura centralizzata Controllo elettronico della stabilità Controllo elettronico della trazione ERM (Electronic Roll Mitigation) FSFCW Full Speed Forward Collision Warning Immobilizzatore Poggiatesta anteriori attivi Pretensionatore cinture Start Button con Smart Key ALTRE CARATTERISTICHE: Cambio automatico Filtro anti particolato Freno di stazionamento elettronico Presa 12V sul cruscotto Sistema di gestione della trazione SELEC-TERRAIN® Auto/Snow/Sand/Mud/ e 4WD Lock Stop&Start Trazione integrale Jeep® Active Drive 4WD PACK: 5 anni di garanzia Concorrenti: Ford Kuga, Hyundai Tucson, Kia Sportage, Mazda Cx5, Nissan Qashqai, Renault Kadjar, Volkswagen Tiguan, ecc."
8211,805,M,40-49,AUTO-MOTO,Purtroppo è un po' un difetto di noi maschi.
8212,848,M,40-49,SMOKE,"Complimenti Lucy mi sembra un'ottima fumata, fai bene a non fumare il fondiglio è rischioso per le pipe in rodaggio e a me personalmente non piace, che lo trovo amarognolo. Poi son gusti personali ovviamente."
8213,199,M,0-19,ANIME,"Sto reiniziando oggi da 0, vediamo fammi vedere un pò come va  semmai per me va bene fare qualche video insieme"
8214,1108,F,20-29,CELEBRITIES,"Mo svengo.  Non sanno più cosa inventare per andare avanti. Non funziona più niente, visto che i fans fanno sballare tutti i loro piani diabolici. Io vorrei vedere il ragazzo di Lidia che ci da un bel 2 di picche! Poi la sua uscita! Due colpi in mezz'ora e audience per gli appassionati."
8215,261,M,30-39,SMOKE,"La Ceppo ringrazia! Riguardo al tabacco mi ha piacevolmente sorpreso pur avendolo comprato alla cieca: sono pochi i negozi he vendono tabacco da pipa qui, e, per la maggior parte si trovano aromatizzati. Quando mi capita qualcosa si interessante prendo tutto!"
8216,671,F,20-29,ANIME,Vane ti avviso solo che sotto spoiler c'è l'immagine del tesserino
8217,706,M,50-100,BIKES,"Con ""carburatore"" intendevo, naturalmente, il filtro aria. L'omologazione, a rigor di logica, non può e non deve essere riportata in quanto ancora non era stata ottenuta... altrimenti, credo che vengano a cadere un paio di chili di certezze che ho letto qui. .. Fermo restando che ""quel motore"" una volta sistemato possa essere stato montato, successivamente, su un numero di telaio poi più alto. ""Quanto"" credo dipenda esclusivamente dalla capacità produttiva giornaliera e dal trmpo occorso per mettere a punto il motore ""difettoso"". ...ah ci fosse Artemio..."
8218,955,M,30-39,SMOKE,"L'America è il più gigantesco esperimento che il mondo abbia mai visto, ma temo non sia destinato al successo. Sigmund Freud"
8219,803,M,30-39,NATURE,D'accordo appena ho 2 minuti vi contatto in email.
8220,683,M,40-49,SPORTS,"Dickmann è un laterale di fascia, Uzela è un centrocampista centrale. Per quelli con la S maiuscola, Uzela ricorda molto Paganelli. Farias?! Sarebbe un grande colpo ma - come direbbe Mazzuccato Valerio - ""darebbero una Ferrari a chi non ha la patente"". Detto questo, Ssssspingere!!!!"
8221,746,M,50-100,AUTO-MOTO,certamente che sono d'accordo !!! ci mancherebbe......non sono mica segreti Militari!!!!! se volete chiedetemi l'amicizia su FB!!!!
8222,105,M,30-39,SPORTS,SERIE A Cagliari-Inter 2 Empoli-Parma x Milan-Sassuolo 1 Lazio-Roma 1 Torino-Chievo 1 Genoa-Frosinone 1 Spal-Sampdoria 2 Udinese-Bologna x Atalanta-Fiorentina 1 Napoli-Juventus x CALCIO ESTERO Francoforte-Hoffenheim 1 Tottenham-Arsenal 1 Real Madrid-Barcellona 2 Everton-Liverpool 2 Valencia-Atl.Bilbao 2
8223,327,M,30-39,SMOKE,"Ma infatti, sto dicendo dall'inizio che anche secondo me la nicotina non viene filtrata per niente, data la recente esperienza di botta nicotinica avuta fumando con il filtro in balsa. Il mio appunto era solo relativo al fatto che Savinelli definisce questo sistema un ""filtro""."
8224,1109,M,30-39,SPORTS,"Prima di tutto occorre spiegare all'arbitro che dare un calcio di rigore non vieta di darne altri se ci sono! L'espulsione del giocatore della Samp paradossalmente ci ha tagliato le gambe, se non fosse stato espulso per doppia ammonizione (entrambe sacrosante!), l'arbitro ci avrebbe dato il calcio di rigore solare su Matri e avrebbe espulso il giocatore, risultato, 2-0 in 11 contro 10 e partita FINITA! Invece ha fatto finta di non vedere per poi non darci neanche un terzo rigore grande come una casa nel secondo tempo! A tutto questo aggiungiamo Buffon che andrebbe inculato dal fratello super dotato di Balotelli, cazzo, un solo tiro in porta della Samp, da fuori area, e mi fai una papera del genere?!?!?!?!?!?! Il secondo gol al tipo non verrà mai più... Lo diciamo TUTTI, lo sanno anche i tifosi del Sydney, cazzo, occorre un attaccante!!! Non un fuoriclasse, uno che la butti dentro senza se e senza ma! Richiamate Trezeguet..."
8225,956,M,40-49,SPORTS,grazie bocia65 si penso che siano fatti artigianalmente appena riesco metto qualche foto
8226,638,M,50-100,SPORTS,Condivido! Gli olandesi hanno già fatto più di quello immaginabile. Finisce con la Rube la loro avventira in CL.
8227,143,M,20-29,ANIME,"Per adesso mi interessava creare a mia volta dei tesserini per i vari gradi. Nello specifico, come tagliare bene un'immagine, come operare con i livelli dei progetti di photoshop e magari scriverci sopra con qualcosa di meglio di una scritta sovrapposta. Molta carne al fuoco insomma"
8228,477,F,30-39,MEDICINE-AESTHETICS,"gatta io uso il mortaio per fare il pesto e a volte il grinder che è utile anche per il make up. comunque io la compro al discount che è in granuli, in polvere non so dove la potresti trovare. ho notato che sciogliendola in acqua è meglio rispetto all’olio, infatti mi rimane sempre qualche residuo minuscolo che mi fa dannare!"
8229,1073,M,30-39,CELEBRITIES,perché?? a me sembra simpatico..nn lo è invece??
8230,865,M,40-49,AUTO-MOTO,Feel lascia perdere il tizio nel suo brodo e versiamoci una birra fresca che sti giorni fa caldo
8231,394,M,50-100,AUTO-MOTO,...mi permetto di far notare che dovrebbero essere queste...
8232,208,M,20-29,AUTO-MOTO,"io sto aspettando da un anno e penso che ne aspettero' un altro di anno per i motori nuovi, l'anno scorso mi hanno rubato l'evoque e adesso sono tentato di prendere il MY 16 Evoque ma essendomi sposato e viaggiando spesso in tanti ho pensato che i 7 posti farebbero piu' al caso mio. Adesso che hanno pure la versione dyscovery sport dynamic non mi resta che aspettare il prezzo."
